PARK AGENCY,PARK NAME,CLEANLINESS,SAFETY,ACTIVITY,COURTESY,VISIT AGAIN,SURVEY_DATE
NORTH,Pearblossom County Park,A,A,,A,A,09/23/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,09/23/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,09/23/2015
NORTH,Pearblossom County Park,A,A,A,A,A,09/23/2015
SOUTH,Ladera Park,F,F,,F,,09/23/2015
EAST,Valleydale Park,A,A,A,A,A,09/24/2015
EAST,City Terrace Park,C,B,,A,,09/25/2015
SOUTH,Del Aire Park,F,F,C,F,F,09/26/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,09/26/2015
SOUTH,Alondra Community Regional Park,A,A,F,F,B,09/26/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,B,A,A,09/28/2015
REGIONAL,Virginia Robinson Gardens,B,B,,D,D,09/28/2015
REGIONAL,Virginia Robinson Gardens,C,A,,C,D,09/28/2015
REGIONAL,Virginia Robinson Gardens,A,A,,A,A,09/28/2015
REGIONAL,Virginia Robinson Gardens,A,A,,A,A,09/28/2015
REGIONAL,Virginia Robinson Gardens,A,A,,A,A,09/28/2015
REGIONAL,Virginia Robinson Gardens,A,A,,A,C,09/28/2015
REGIONAL,Virginia Robinson Gardens,A,A,A,A,C,09/28/2015
REGIONAL,Virginia Robinson Gardens,A,A,A,A,A,09/28/2015
REGIONAL,Virginia Robinson Gardens,A,A,A,A,A,09/28/2015
SOUTH,Thomas S. Burton Park,B,D,,,A,09/28/2015
SOUTH,Amelia Mayberry Park,D,C,,,C,09/28/2015
SOUTH,Monteith Parkway,B,A,,,A,09/29/2015
SOUTH,Mona Park,A,A,,B,A,09/29/2015
EAST,Ruben F. Salazar Park,F,F,F,B,F,10/01/2015
EAST,Dalton Park,A,A,,A,A,10/02/2015
EAST,Charter Oak Park,A,A,A,A,A,10/02/2015
EAST,Arcadia Community Regional Park,A,A,C,C,A,10/02/2015
REGIONAL,Frank G. Bonelli Regional Park,A,A,A,A,A,10/04/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,C,A,A,10/04/2015
REGIONAL,Whittier Narrows Recreation Area,B,A,,B,A,10/05/2015
SOUTH,William Steinmetz Park,A,A,A,A,A,10/07/2015
EAST,Valleydale Park,F,F,,D,F,10/10/2015
SOUTH,Ladera Park,,F,,F,,10/11/2015
SOUTH,Athens Park,C,F,,B,F,10/13/2015
SOUTH,Ladera Park,,D,,F,,10/13/2015
SOUTH,Jesse Owens Community Regional Park,A,A,A,A,A,10/14/2015
SOUTH,Cerritos Community Regional Park,A,A,,A,A,10/14/2015
NORTH,Acton County Park,A,F,,A,C,10/15/2015
REGIONAL,Whittier Narrows Recreation Area,A,F,,B,B,10/15/2015
REGIONAL,Whittier Narrows Natural Area and Nature Center,A,A,,A,A,10/15/2015
NORTH,El Cariso Community Regional Park,F,D,C,C,F,10/15/2015
REGIONAL,Vasquez Rocks Natural Area and Nature Center,A,A,A,A,A,10/18/2015
REGIONAL,Castaic Lake State Recreation Area,A,A,A,A,A,10/20/2015
NORTH,Castaic Regional Sports Complex,A,A,A,A,A,10/20/2015
REGIONAL,South Coast Botanic Garden,A,F,,A,F,10/22/2015
REGIONAL,South Coast Botanic Garden,A,A,,A,C,10/22/2015
SOUTH,Pathfinder Community Regional Park,A,B,A,A,A,10/22/2015
REGIONAL,Virginia Robinson Gardens,A,A,,A,A,10/22/2015
REGIONAL,Virginia Robinson Gardens,A,A,A,A,A,10/22/2015
REGIONAL,Virginia Robinson Gardens,A,A,A,A,A,10/22/2015
REGIONAL,Kenneth Hahn State Recreation Area,B,C,,A,A,10/23/2015
NORTH,Stephen Sorensen Park,A,A,,A,A,10/25/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,A,10/25/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,10/25/2015
NORTH,Stephen Sorensen Park,A,B,A,A,A,10/26/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,10/26/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,10/26/2015
NORTH,Stephen Sorensen Park,A,A,A,A,,10/26/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,10/26/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,10/26/2015
NORTH,Stephen Sorensen Park,B,A,A,A,A,10/26/2015
NORTH,West Creek Park,A,A,A,A,A,10/26/2015
REGIONAL,Placerita Canyon Natural Area and Nature Center,A,A,A,A,A,10/26/2015
REGIONAL,Placerita Canyon Natural Area and Nature Center,A,A,A,A,A,10/26/2015
REGIONAL,Placerita Canyon Natural Area and Nature Center,A,A,A,A,A,10/26/2015
REGIONAL,Placerita Canyon Natural Area and Nature Center,A,A,A,A,A,10/26/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,10/26/2015
SOUTH,Hacienda Heights Community Center,A,C,,A,A,10/27/2015
REGIONAL,Placerita Canyon Natural Area and Nature Center,A,A,A,A,A,10/27/2015
REGIONAL,Placerita Canyon Natural Area and Nature Center,A,A,A,A,A,10/27/2015
REGIONAL,Placerita Canyon Natural Area and Nature Center,A,A,A,A,A,10/27/2015
REGIONAL,Placerita Canyon Natural Area and Nature Center,A,A,A,A,A,10/27/2015
REGIONAL,Placerita Canyon Natural Area and Nature Center,A,A,A,A,A,10/27/2015
REGIONAL,Placerita Canyon Natural Area and Nature Center,A,A,A,A,A,10/27/2015
REGIONAL,Placerita Canyon Natural Area and Nature Center,A,B,A,A,A,10/27/2015
REGIONAL,Placerita Canyon Natural Area and Nature Center,A,A,A,A,A,10/27/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,10/27/2015
NORTH,Jackie Robinson Park,A,B,,A,A,10/27/2015
NORTH,Jackie Robinson Park,A,A,A,A,A,10/27/2015
SOUTH,Amelia Mayberry Park,F,C,C,C,C,10/27/2015
SOUTH,Manzanita Park,A,A,A,A,A,10/27/2015
SOUTH,Hacienda Heights Community Center,B,D,C,F,C,10/27/2015
EAST,Belvedere Community Regional Park,B,A,A,A,A,10/29/2015
EAST,City Terrace Park,F,F,F,F,F,10/29/2015
NORTH,Castaic Regional Sports Complex,A,D,C,F,B,10/30/2015
SOUTH,Franklin D. Roosevelt Park,A,B,A,A,A,10/31/2015
GOLF,La Mirada Golf Course,A,A,A,A,A,10/31/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,11/01/2015
SOUTH,Franklin D. Roosevelt Park,A,B,A,A,A,11/01/2015
SOUTH,Amigo Park,B,A,A,A,B,11/02/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,11/03/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,11/03/2015
NORTH,Dr. Richard H. Rioux Memorial Park,C,A,,A,A,11/03/2015
NORTH,Dr. Richard H. Rioux Memorial Park,A,A,A,A,A,11/03/2015
NORTH,Dr. Richard H. Rioux Memorial Park,A,A,A,A,A,11/03/2015
NORTH,Dr. Richard H. Rioux Memorial Park,A,A,,A,A,11/03/2015
NORTH,Dr. Richard H. Rioux Memorial Park,A,A,,A,A,11/03/2015
NORTH,Dr. Richard H. Rioux Memorial Park,A,A,A,A,A,11/03/2015
NORTH,George Lane Park,A,A,,,A,11/03/2015
SOUTH,Jesse Owens Community Regional Park,A,A,A,F,A,11/03/2015
REGIONAL,Eaton Canyon Natural Area and Nature Center,A,A,A,A,A,11/03/2015
REGIONAL,Tesoro Adobe Historic Park,B,B,A,A,A,11/03/2015
REGIONAL,Virginia Robinson Gardens,A,A,,A,A,11/03/2015
SOUTH,Cerritos Community Regional Park,A,A,A,A,A,11/03/2015
REGIONAL,Virginia Robinson Gardens,A,A,A,A,A,11/03/2015
REGIONAL,Virginia Robinson Gardens,A,A,A,A,A,11/03/2015
REGIONAL,Virginia Robinson Gardens,A,A,A,A,A,11/03/2015
REGIONAL,Virginia Robinson Gardens,A,A,A,A,A,11/03/2015
REGIONAL,Virginia Robinson Gardens,A,B,A,A,A,11/03/2015
REGIONAL,Virginia Robinson Gardens,B,A,,A,A,11/03/2015
REGIONAL,Virginia Robinson Gardens,A,A,,A,A,11/03/2015
REGIONAL,Virginia Robinson Gardens,A,A,A,A,A,11/03/2015
NORTH,George Lane Park,A,A,A,A,A,11/03/2015
REGIONAL,Castaic Lake State Recreation Area,A,A,,A,A,11/03/2015
REGIONAL,Whittier Narrows Recreation Area,,A,,A,A,11/03/2015
REGIONAL,Virginia Robinson Gardens,A,A,A,A,A,11/03/2015
SOUTH,Sorensen Park,A,A,,F,A,11/04/2015
GOLF,La Mirada Golf Course,A,A,A,A,A,11/04/2015
SOUTH,Franklin D. Roosevelt Park,F,D,,,D,11/05/2015
REGIONAL,Whittier Narrows Recreation Area,A,A,,,A,11/06/2015
GOLF,Alondra Golf Course,A,A,A,A,A,11/06/2015
NORTH,Stephen Sorensen Park,B,B,F,F,D,11/07/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,A,11/08/2015
SOUTH,Del Aire Park,A,A,,A,A,11/09/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,A,11/09/2015
NORTH,Apollo Community Regional Park,C,B,,C,A,11/09/2015
EAST,Ruben F. Salazar Park,F,F,F,F,F,11/10/2015
SOUTH,Amigo Park,D,C,C,C,C,11/10/2015
SOUTH,Del Aire Park,A,A,,A,A,11/10/2015
SOUTH,Del Aire Park,A,A,,A,A,11/10/2015
SOUTH,Del Aire Park,A,A,,A,A,11/10/2015
SOUTH,Del Aire Park,A,A,,A,A,11/10/2015
SOUTH,Ted Watkins Memorial Park,C,C,C,C,C,11/10/2015
SOUTH,Del Aire Park,A,B,,A,A,11/11/2015
SOUTH,Del Aire Park,A,A,,A,A,11/11/2015
SOUTH,Del Aire Park,A,A,,A,A,11/11/2015
SOUTH,Rowland Heights Park,A,A,,,A,11/11/2015
NORTH,Del Valle Park,A,C,A,B,A,11/11/2015
SOUTH,Del Aire Park,A,A,A,A,A,11/11/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,B,B,,A,A,11/11/2015
NORTH,Acton County Park,A,A,A,A,A,11/12/2015
REGIONAL,Kenneth Hahn State Recreation Area,B,F,,A,C,11/12/2015
SOUTH,Franklin D. Roosevelt Park,C,C,,C,C,11/12/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,11/14/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,A,11/15/2015
GOLF,La Mirada Golf Course,A,A,A,A,A,11/15/2015
GOLF,La Mirada Golf Course,F,F,F,F,F,11/15/2015
REGIONAL,Virginia Robinson Gardens,A,A,A,A,A,11/16/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,11/16/2015
REGIONAL,Virginia Robinson Gardens,A,A,,A,A,11/16/2015
REGIONAL,Virginia Robinson Gardens,A,A,A,A,A,11/16/2015
REGIONAL,Virginia Robinson Gardens,A,A,,A,A,11/16/2015
REGIONAL,Virginia Robinson Gardens,A,A,,A,A,11/16/2015
REGIONAL,Virginia Robinson Gardens,A,A,A,A,A,11/16/2015
REGIONAL,Virginia Robinson Gardens,A,A,A,A,A,11/16/2015
REGIONAL,Virginia Robinson Gardens,A,A,A,A,A,11/16/2015
REGIONAL,Virginia Robinson Gardens,A,A,,A,A,11/16/2015
REGIONAL,Virginia Robinson Gardens,A,A,,A,A,11/16/2015
REGIONAL,Virginia Robinson Gardens,A,A,,A,A,11/16/2015
REGIONAL,Virginia Robinson Gardens,A,B,,A,A,11/16/2015
NORTH,Pearblossom County Park,A,A,,A,A,11/16/2015
NORTH,El Cariso Community Regional Park,A,A,,A,A,11/16/2015
NORTH,George Lane Park,A,A,A,A,A,11/17/2015
NORTH,Stephen Sorensen Park,B,B,A,B,A,11/17/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,11/17/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,11/17/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,11/17/2015
NORTH,Stephen Sorensen Park,C,B,,B,B,11/17/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,11/17/2015
NORTH,Stephen Sorensen Park,C,B,A,A,A,11/17/2015
NORTH,Apollo Community Regional Park,B,A,A,B,A,11/17/2015
NORTH,Apollo Community Regional Park,B,A,,A,A,11/17/2015
NORTH,Apollo Community Regional Park,B,A,,A,A,11/17/2015
NORTH,Apollo Community Regional Park,B,A,,A,A,11/17/2015
NORTH,Apollo Community Regional Park,A,A,,A,A,11/17/2015
NORTH,Apollo Community Regional Park,A,A,,A,A,11/17/2015
NORTH,Pearblossom County Park,A,A,,A,A,11/17/2015
NORTH,Acton County Park,A,A,A,A,A,11/17/2015
NORTH,George Lane Park,C,B,A,B,B,11/17/2015
NORTH,George Lane Park,B,A,A,A,A,11/17/2015
NORTH,George Lane Park,C,B,C,C,C,11/17/2015
NORTH,George Lane Park,A,A,,B,A,11/17/2015
NORTH,George Lane Park,A,,A,,A,11/17/2015
NORTH,George Lane Park,B,A,A,B,A,11/17/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,11/17/2015
REGIONAL,Whittier Narrows Recreation Area,D,C,,C,C,11/17/2015
NORTH,Jackie Robinson Park,A,A,A,A,A,11/17/2015
NORTH,Jackie Robinson Park,A,A,A,A,A,11/17/2015
NORTH,Jackie Robinson Park,A,A,A,A,A,11/17/2015
NORTH,Jackie Robinson Park,A,B,A,,,11/17/2015
REGIONAL,Descanso Gardens,C,C,,D,F,11/18/2015
SOUTH,Franklin D. Roosevelt Park,A,A,A,A,A,11/18/2015
GOLF,Marshall Canyon Golf Course,D,D,F,F,C,11/19/2015
REGIONAL,Whittier Narrows Recreation Area,A,A,A,A,A,11/21/2015
REGIONAL,Santa Fe Dam Recreational Area,A,A,,F,B,11/21/2015
REGIONAL,Frank G. Bonelli Regional Park,F,F,,,F,11/21/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,11/24/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,11/24/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,11/24/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,11/24/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,11/24/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,11/24/2015
REGIONAL,Virginia Robinson Gardens,A,A,A,A,A,11/24/2015
NORTH,Jackie Robinson Park,A,A,,A,A,11/24/2015
NORTH,Jackie Robinson Park,A,A,A,B,A,11/24/2015
NORTH,Jackie Robinson Park,A,A,A,A,A,11/24/2015
NORTH,Jackie Robinson Park,A,A,A,A,A,11/24/2015
NORTH,Apollo Community Regional Park,A,A,A,A,A,11/24/2015
NORTH,Apollo Community Regional Park,A,A,,A,A,11/24/2015
NORTH,Apollo Community Regional Park,A,A,,A,A,11/24/2015
NORTH,Apollo Community Regional Park,A,A,,A,A,11/24/2015
NORTH,Apollo Community Regional Park,A,A,,A,A,11/24/2015
SOUTH,Roy Campanella Park,B,B,A,B,A,11/24/2015
REGIONAL,Kenneth Hahn State Recreation Area,A,A,,A,A,11/25/2015
SOUTH,Pepperbrook Park,A,A,,,A,11/26/2015
SOUTH,Franklin D. Roosevelt Park,C,C,F,D,F,11/30/2015
SOUTH,"Earvin ""Magic"" Johnson Recreation Area",F,F,D,D,D,11/30/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,12/01/2015
NORTH,Stephen Sorensen Park,A,A,,A,A,12/01/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,12/01/2015
